,section,section_short,subsection,qID,question,model,colour,answer_given
19,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5-mini,green,0.9358974358974359
20,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5-nano,green,1.0
21,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5.4-mini,green,0.8734177215189873
22,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5.4-nano,green,0.9493670886075949
23,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),o3-mini,green,1.0
24,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-4o-mini_temp0,green,0.6455696202531646
25,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5-mini,green,0.5822784810126582
26,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5-nano,green,0.9746835443037974
27,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5.4-mini,green,0.5189873417721519
28,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5.4-nano,green,0.3670886075949367
29,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",o3-mini,green,1.0
30,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-4o-mini_temp0,green,0.379746835443038
31,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5-mini,green,0.3670886075949367
32,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5-nano,green,0.379746835443038
33,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5.4-mini,green,0.3291139240506329
34,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5.4-nano,green,0.0759493670886076
35,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),o3-mini,green,1.0
36,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-4o-mini_temp0,green,0.3670886075949367
37,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5-mini,green,0.5443037974683544
38,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5-nano,green,0.620253164556962
39,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5.4-mini,green,0.3037974683544304
40,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5.4-nano,green,0.10126582278481013
41,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),o3-mini,green,1.0
42,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-4o-mini_temp0,green,0.26582278481012656
43,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5-mini,green,0.189873417721519
44,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5-nano,green,0.27848101265822783
45,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5.4-mini,green,0.3037974683544304
46,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5.4-nano,green,0.08860759493670886
47,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),o3-mini,green,0.7974683544303798
48,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-4o-mini_temp0,green,0.0379746835443038
49,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5-mini,green,0.11392405063291139
50,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5-nano,green,0.16666666666666666
51,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5.4-mini,green,0.16455696202531644
52,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5.4-nano,green,0.02531645569620253
53,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",o3-mini,green,0.27848101265822783
54,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,gpt-4o-mini_temp0,red,0.0
55,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,gpt-5-mini,red,0.0
56,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,gpt-5-nano,red,0.0379746835443038
57,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,gpt-5.4-mini,red,0.012658227848101266
58,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,gpt-5.4-nano,red,0.0
59,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,o3-mini,red,0.0759493670886076
60,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,gpt-4o-mini_temp0,red,0.0
61,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,gpt-5-mini,red,0.02531645569620253
62,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,gpt-5-nano,red,0.06329113924050633
63,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,gpt-5.4-mini,red,0.012658227848101266
64,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,gpt-5.4-nano,red,0.0
65,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,o3-mini,red,0.07692307692307693
66,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",gpt-4o-mini_temp0,red,0.0
67,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",gpt-5-mini,red,0.012658227848101266
68,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",gpt-5-nano,red,0.0379746835443038
69,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",gpt-5.4-mini,red,0.06329113924050633
70,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",gpt-5.4-nano,red,0.0
71,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",o3-mini,red,0.16455696202531644
72,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,gpt-4o-mini_temp0,red,0.0
73,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,gpt-5-mini,red,0.0
74,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,gpt-5-nano,red,0.0379746835443038
75,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,gpt-5.4-mini,red,0.012658227848101266
76,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,gpt-5.4-nano,red,0.0
77,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,o3-mini,red,0.0379746835443038
78,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",gpt-4o-mini_temp0,red,0.0
79,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",gpt-5-mini,red,0.012658227848101266
80,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",gpt-5-nano,red,0.0759493670886076
81,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",gpt-5.4-mini,red,0.05063291139240506
82,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",gpt-5.4-nano,red,0.0
83,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",o3-mini,red,0.43037974683544306
84,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",gpt-4o-mini_temp0,red,0.0
85,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",gpt-5-mini,red,0.0379746835443038
86,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",gpt-5-nano,red,0.06329113924050633
87,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",gpt-5.4-mini,red,0.02531645569620253
88,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",gpt-5.4-nano,red,0.0
89,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",o3-mini,red,0.10126582278481013
90,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-4o-mini_temp0,blue,0.13924050632911392
91,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-5-mini,blue,0.28205128205128205
92,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-5-nano,blue,0.5189873417721519
93,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-5.4-mini,blue,0.5443037974683544
94,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-5.4-nano,blue,0.13924050632911392
95,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",o3-mini,blue,0.620253164556962
96,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-4o-mini_temp0,blue,0.08860759493670886
97,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-5-mini,blue,0.22784810126582278
98,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-5-nano,blue,0.16455696202531644
99,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-5.4-mini,blue,0.06329113924050633
100,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-5.4-nano,blue,0.0379746835443038
101,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,o3-mini,blue,0.25316455696202533
102,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-4o-mini_temp0,blue,0.6329113924050633
103,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5-mini,blue,0.2911392405063291
104,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5-nano,blue,0.4936708860759494
105,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5.4-mini,blue,0.9746835443037974
106,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5.4-nano,blue,0.13924050632911392
107,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",o3-mini,blue,1.0
108,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-4o-mini_temp0,blue,0.0379746835443038
109,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5-mini,blue,0.6075949367088608
110,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5-nano,blue,0.5822784810126582
111,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5.4-mini,blue,0.7721518987341772
112,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5.4-nano,blue,0.3291139240506329
113,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",o3-mini,blue,0.9746835443037974
114,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-4o-mini_temp0,blue,0.1518987341772152
115,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-5-mini,blue,0.4177215189873418
116,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-5-nano,blue,0.4050632911392405
117,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-5.4-mini,blue,0.6075949367088608
118,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-5.4-nano,blue,0.17721518987341772
119,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,o3-mini,blue,0.4230769230769231
120,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-4o-mini_temp0,blue,0.11392405063291139
121,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-5-mini,blue,0.32051282051282054
122,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-5-nano,blue,0.32051282051282054
123,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-5.4-mini,blue,0.189873417721519
124,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-5.4-nano,blue,0.16455696202531644
125,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,o3-mini,blue,0.3291139240506329
126,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-4o-mini_temp0,blue,0.06329113924050633
127,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5-mini,blue,0.12658227848101267
128,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5-nano,blue,0.26582278481012656
129,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5.4-mini,blue,0.20253164556962025
130,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5.4-nano,blue,0.012658227848101266
131,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",o3-mini,blue,0.3974358974358974
132,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-4o-mini_temp0,blue,0.27848101265822783
133,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5-mini,blue,0.620253164556962
134,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5-nano,blue,0.6455696202531646
135,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5.4-mini,blue,0.6455696202531646
136,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5.4-nano,blue,0.08860759493670886
137,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",o3-mini,blue,0.810126582278481
138,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-4o-mini_temp0,green,0.4177215189873418
139,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5-mini,green,0.6582278481012658
140,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5-nano,green,0.34177215189873417
141,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5.4-mini,green,0.5063291139240507
142,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5.4-nano,green,0.379746835443038
143,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",o3-mini,green,0.8860759493670886
144,3. Description of general features of the test system source,3. Test system source,3.2 Overview of cell source component(s),19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-4o-mini_temp0,green,0.7848101265822784
145,3. Description of general features of the test system source,3. Test system source,3.2 Overview of cell source component(s),19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-5-mini,green,0.13924050632911392
