section#,section,subsection,section_short,Question_ID2,question,model,cos_similarity
1.0,1. Overview,1.2 Abstract,1. Overview,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5-mini,0.6139556441554135
1.0,1. Overview,1.2 Abstract,1. Overview,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5-nano,0.6592503102903389
1.0,1. Overview,1.2 Abstract,1. Overview,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5.4-mini,0.6963732340032867
1.0,1. Overview,1.2 Abstract,1. Overview,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5.4-nano,0.6469878690856824
1.0,1. Overview,1.2 Abstract,1. Overview,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",o3-mini,0.7322354382483562
1.0,1. Overview,1.2 Abstract,1. Overview,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-4.1-nano,0.4016552740185214
1.0,1. Overview,1.2 Abstract,1. Overview,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-4o-mini,0.35967386482989516
1.0,1. Overview,1.2 Abstract,1. Overview,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-4o-mini_temp0,0.42904243443349466
1.0,1. Overview,1.2 Abstract,1. Overview,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5-mini,0.3231642830981456
1.0,1. Overview,1.2 Abstract,1. Overview,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5-nano,0.37786289073564455
1.0,1. Overview,1.2 Abstract,1. Overview,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5.4-mini,0.4408651976399406
1.0,1. Overview,1.2 Abstract,1. Overview,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5.4-nano,0.43174108516497145
1.0,1. Overview,1.2 Abstract,1. Overview,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),o3-mini,0.39601042389416874
1.0,1. Overview,1.2 Abstract,1. Overview,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-4.1-nano,0.5804454628654321
1.0,1. Overview,1.2 Abstract,1. Overview,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-4o-mini,0.5500770689657025
1.0,1. Overview,1.2 Abstract,1. Overview,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-4o-mini_temp0,0.5260027325769494
1.0,1. Overview,1.2 Abstract,1. Overview,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5-mini,0.4705075471654394
1.0,1. Overview,1.2 Abstract,1. Overview,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5-nano,0.49891054384808553
1.0,1. Overview,1.2 Abstract,1. Overview,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5.4-mini,0.6298248889479557
1.0,1. Overview,1.2 Abstract,1. Overview,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5.4-nano,0.5764012078706355
1.0,1. Overview,1.2 Abstract,1. Overview,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),o3-mini,0.5385334955928069
1.0,1. Overview,1.2 Abstract,1. Overview,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-4.1-nano,0.237761386727426
1.0,1. Overview,1.2 Abstract,1. Overview,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-4o-mini,0.2659476553609484
1.0,1. Overview,1.2 Abstract,1. Overview,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-4o-mini_temp0,0.2728453850869767
1.0,1. Overview,1.2 Abstract,1. Overview,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5-mini,0.28735391526384557
1.0,1. Overview,1.2 Abstract,1. Overview,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5-nano,0.1988627019416203
1.0,1. Overview,1.2 Abstract,1. Overview,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5.4-mini,0.2450029309336573
1.0,1. Overview,1.2 Abstract,1. Overview,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5.4-nano,0.32600098485298684
1.0,1. Overview,1.2 Abstract,1. Overview,8,Does the test method capture an endpoint of current regulatory studies? (9.5),o3-mini,0.2412618826174755
1.0,1. Overview,1.2 Abstract,1. Overview,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-4.1-nano,0.6580535493797137
1.0,1. Overview,1.2 Abstract,1. Overview,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-4o-mini,0.49581683617189976
1.0,1. Overview,1.2 Abstract,1. Overview,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-4o-mini_temp0,0.562516117130085
1.0,1. Overview,1.2 Abstract,1. Overview,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5-mini,0.4378663427996634
1.0,1. Overview,1.2 Abstract,1. Overview,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5-nano,0.3957149503567674
1.0,1. Overview,1.2 Abstract,1. Overview,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5.4-mini,0.5513056046655836
1.0,1. Overview,1.2 Abstract,1. Overview,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5.4-nano,0.5971603001947888
1.0,1. Overview,1.2 Abstract,1. Overview,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",o3-mini,0.6406144060352231
2.0,2. General information,2.1 Name of test method,2. General information,10,"Provide the original/published name, as well as the potential tradename.",gpt-4.1-nano,0.48095575402535673
2.0,2. General information,2.1 Name of test method,2. General information,10,"Provide the original/published name, as well as the potential tradename.",gpt-4o-mini,0.630634026473468
2.0,2. General information,2.1 Name of test method,2. General information,10,"Provide the original/published name, as well as the potential tradename.",gpt-4o-mini_temp0,0.6340282839836
2.0,2. General information,2.1 Name of test method,2. General information,10,"Provide the original/published name, as well as the potential tradename.",gpt-5-mini,0.7010021727340451
2.0,2. General information,2.1 Name of test method,2. General information,10,"Provide the original/published name, as well as the potential tradename.",gpt-5-nano,0.7261117616661478
2.0,2. General information,2.1 Name of test method,2. General information,10,"Provide the original/published name, as well as the potential tradename.",gpt-5.4-mini,0.710688107788971
2.0,2. General information,2.1 Name of test method,2. General information,10,"Provide the original/published name, as well as the potential tradename.",gpt-5.4-nano,0.5497554141651549
2.0,2. General information,2.1 Name of test method,2. General information,10,"Provide the original/published name, as well as the potential tradename.",o3-mini,0.6828189815487691
2.0,2. General information,2.2 Version number and date of deposition,2. General information,11,Provide the original deposition date of first version and date of current version.,gpt-4.1-nano,0.5407870814096141
2.0,2. General information,2.2 Version number and date of deposition,2. General information,11,Provide the original deposition date of first version and date of current version.,gpt-4o-mini,0.595147521391393
2.0,2. General information,2.2 Version number and date of deposition,2. General information,11,Provide the original deposition date of first version and date of current version.,gpt-4o-mini_temp0,0.6001469988826544
2.0,2. General information,2.2 Version number and date of deposition,2. General information,11,Provide the original deposition date of first version and date of current version.,gpt-5-mini,0.6345207928119454
2.0,2. General information,2.2 Version number and date of deposition,2. General information,11,Provide the original deposition date of first version and date of current version.,gpt-5-nano,0.6040665214169767
2.0,2. General information,2.2 Version number and date of deposition,2. General information,11,Provide the original deposition date of first version and date of current version.,gpt-5.4-mini,0.48908488715491405
2.0,2. General information,2.2 Version number and date of deposition,2. General information,11,Provide the original deposition date of first version and date of current version.,gpt-5.4-nano,0.5508090240562951
2.0,2. General information,2.2 Version number and date of deposition,2. General information,11,Provide the original deposition date of first version and date of current version.,o3-mini,0.6254249603192636
2.0,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),2. General information,12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-4.1-nano,0.1717441958268337
2.0,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),2. General information,12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-4o-mini,0.3813266333557804
2.0,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),2. General information,12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-4o-mini_temp0,0.3503906591023483
2.0,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),2. General information,12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5-mini,0.30346403227664637
2.0,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),2. General information,12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5-nano,0.28788617148086787
2.0,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),2. General information,12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5.4-mini,0.27148307049738474
2.0,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),2. General information,12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5.4-nano,0.17128778019701088
2.0,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),2. General information,12,"This only applies to updated versions. If this is the original version, state 'original version'.",o3-mini,0.36565167165327317
2.0,2. General information,2.4 Assigned data base name,2. General information,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-4.1-nano,0.5851308309040772
2.0,2. General information,2.4 Assigned data base name,2. General information,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-4o-mini,0.436208342569511
2.0,2. General information,2.4 Assigned data base name,2. General information,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-4o-mini_temp0,0.39838219893437077
2.0,2. General information,2.4 Assigned data base name,2. General information,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5-mini,0.5949968761277344
2.0,2. General information,2.4 Assigned data base name,2. General information,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5-nano,0.662773722719535
2.0,2. General information,2.4 Assigned data base name,2. General information,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5.4-mini,0.6855004565775175
2.0,2. General information,2.4 Assigned data base name,2. General information,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5.4-nano,0.5125781803003084
2.0,2. General information,2.4 Assigned data base name,2. General information,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",o3-mini,0.5135808160295886
2.0,2. General information,2.5 Name and acronym of the test depositor,2. General information,14,Include affiliation.,gpt-4.1-nano,0.24956967813356734
2.0,2. General information,2.5 Name and acronym of the test depositor,2. General information,14,Include affiliation.,gpt-4o-mini,0.3961686457793071
2.0,2. General information,2.5 Name and acronym of the test depositor,2. General information,14,Include affiliation.,gpt-4o-mini_temp0,0.3209850785565458
2.0,2. General information,2.5 Name and acronym of the test depositor,2. General information,14,Include affiliation.,gpt-5-mini,0.38507994083605507
2.0,2. General information,2.5 Name and acronym of the test depositor,2. General information,14,Include affiliation.,gpt-5-nano,0.40345125033633483
2.0,2. General information,2.5 Name and acronym of the test depositor,2. General information,14,Include affiliation.,gpt-5.4-mini,0.3909063081578259
2.0,2. General information,2.5 Name and acronym of the test depositor,2. General information,14,Include affiliation.,gpt-5.4-nano,0.10508962606497063
2.0,2. General information,2.5 Name and acronym of the test depositor,2. General information,14,Include affiliation.,o3-mini,0.4201388125952712
2.0,2. General information,2.6 Name and email of contact person,2. General information,15,Provide the details of the principal contact person.,gpt-4.1-nano,0.5726998193565016
2.0,2. General information,2.6 Name and email of contact person,2. General information,15,Provide the details of the principal contact person.,gpt-4o-mini,0.5648379800510419
2.0,2. General information,2.6 Name and email of contact person,2. General information,15,Provide the details of the principal contact person.,gpt-4o-mini_temp0,0.5578744663142741
2.0,2. General information,2.6 Name and email of contact person,2. General information,15,Provide the details of the principal contact person.,gpt-5-mini,0.41841116146650387
2.0,2. General information,2.6 Name and email of contact person,2. General information,15,Provide the details of the principal contact person.,gpt-5-nano,0.5249341187595588
2.0,2. General information,2.6 Name and email of contact person,2. General information,15,Provide the details of the principal contact person.,gpt-5.4-mini,0.6039263915840924
2.0,2. General information,2.6 Name and email of contact person,2. General information,15,Provide the details of the principal contact person.,gpt-5.4-nano,0.5517598860719916
2.0,2. General information,2.6 Name and email of contact person,2. General information,15,Provide the details of the principal contact person.,o3-mini,0.6801560420474334
2.0,2. General information,2.7 Name of further persons involved,2. General information,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-4.1-nano,0.08382285660119172
2.0,2. General information,2.7 Name of further persons involved,2. General information,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-4o-mini,0.5323603340757175
2.0,2. General information,2.7 Name of further persons involved,2. General information,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-4o-mini_temp0,0.39893171670160255
2.0,2. General information,2.7 Name of further persons involved,2. General information,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5-mini,0.44434928357112924
2.0,2. General information,2.7 Name of further persons involved,2. General information,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5-nano,0.4252696360824743
2.0,2. General information,2.7 Name of further persons involved,2. General information,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5.4-mini,0.2999741433153793
2.0,2. General information,2.7 Name of further persons involved,2. General information,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5.4-nano,0.23658865218975583
2.0,2. General information,2.7 Name of further persons involved,2. General information,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",o3-mini,0.5254777623582336
2.0,2. General information,2.8 Reference to additional files of relevance,2. General information,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-4.1-nano,0.47820425340409517
2.0,2. General information,2.8 Reference to additional files of relevance,2. General information,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-4o-mini,0.6194674746193845
2.0,2. General information,2.8 Reference to additional files of relevance,2. General information,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-4o-mini_temp0,0.5731484308363263
2.0,2. General information,2.8 Reference to additional files of relevance,2. General information,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5-mini,0.534820759610312
2.0,2. General information,2.8 Reference to additional files of relevance,2. General information,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5-nano,0.5238354764377123
2.0,2. General information,2.8 Reference to additional files of relevance,2. General information,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5.4-mini,0.536432024947415
2.0,2. General information,2.8 Reference to additional files of relevance,2. General information,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5.4-nano,0.25657887166001453
2.0,2. General information,2.8 Reference to additional files of relevance,2. General information,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",o3-mini,0.6162174286188858
3.0,3. Description of general features of the test system source,3.1 Supply of source cells,3. Test system source,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-4.1-nano,0.7096618923402933
3.0,3. Description of general features of the test system source,3.1 Supply of source cells,3. Test system source,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-4o-mini,0.7322301409361659
3.0,3. Description of general features of the test system source,3.1 Supply of source cells,3. Test system source,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-4o-mini_temp0,0.7351969600096331
3.0,3. Description of general features of the test system source,3.1 Supply of source cells,3. Test system source,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5-mini,0.6507644598384571
3.0,3. Description of general features of the test system source,3.1 Supply of source cells,3. Test system source,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5-nano,0.708529395674332
3.0,3. Description of general features of the test system source,3.1 Supply of source cells,3. Test system source,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5.4-mini,0.7398462040729623
3.0,3. Description of general features of the test system source,3.1 Supply of source cells,3. Test system source,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5.4-nano,0.7310667218208738
3.0,3. Description of general features of the test system source,3.1 Supply of source cells,3. Test system source,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",o3-mini,0.7307104296622061
3.0,3. Description of general features of the test system source,3.2 Overview of cell source component(s),3. Test system source,19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-4.1-nano,0.8271485791824794
3.0,3. Description of general features of the test system source,3.2 Overview of cell source component(s),3. Test system source,19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-4o-mini,0.8210122580334555
3.0,3. Description of general features of the test system source,3.2 Overview of cell source component(s),3. Test system source,19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-4o-mini_temp0,0.8088217024914454
3.0,3. Description of general features of the test system source,3.2 Overview of cell source component(s),3. Test system source,19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-5-mini,0.6580401803022566
3.0,3. Description of general features of the test system source,3.2 Overview of cell source component(s),3. Test system source,19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-5-nano,0.6718219240906924
3.0,3. Description of general features of the test system source,3.2 Overview of cell source component(s),3. Test system source,19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-5.4-mini,0.8105286145599395
3.0,3. Description of general features of the test system source,3.2 Overview of cell source component(s),3. Test system source,19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",gpt-5.4-nano,0.7478583648284656
3.0,3. Description of general features of the test system source,3.2 Overview of cell source component(s),3. Test system source,19,"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",o3-mini,0.7897743446830205
3.0,3. Description of general features of the test system source,3.3 Characterization and definition of source cells,3. Test system source,20,"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures.",gpt-4.1-nano,0.7096519759978727
3.0,3. Description of general features of the test system source,3.3 Characterization and definition of source cells,3. Test system source,20,"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures.",gpt-4o-mini,0.7740478570642421
