,section,section_short,subsection,qID,question,doc_type,model,colour,mean_answer_given,std_answer_given
15,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,combined,gpt-5.4-mini,blue,1.0,0.0
16,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,combined,gpt-5.4-nano,blue,1.0,0.0
17,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,combined,o3-mini,blue,1.0,0.0
18,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,description,gpt-4o-mini_temp0,blue,0.7142857142857143,0.4879500364742666
19,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,description,gpt-5-mini,blue,0.8571428571428571,0.37796447300922725
20,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,description,gpt-5-nano,blue,1.0,0.0
21,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,description,gpt-5.4-mini,blue,0.7142857142857143,0.4879500364742666
22,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,description,gpt-5.4-nano,blue,1.0,0.0
23,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,description,o3-mini,blue,1.0,0.0
24,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,dmp,gpt-4o-mini_temp0,blue,1.0,0.0
25,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,dmp,gpt-5-mini,blue,1.0,0.0
26,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,dmp,gpt-5-nano,blue,1.0,0.0
27,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,dmp,gpt-5.4-mini,blue,1.0,0.0
28,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,dmp,gpt-5.4-nano,blue,0.6666666666666666,0.5773502691896258
29,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,dmp,o3-mini,blue,1.0,0.0
30,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,meta_data,gpt-4o-mini_temp0,blue,1.0,0.0
31,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,meta_data,gpt-5-mini,blue,1.0,0.0
32,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,meta_data,gpt-5-nano,blue,1.0,0.0
33,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,meta_data,gpt-5.4-mini,blue,1.0,0.0
34,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,meta_data,gpt-5.4-nano,blue,0.8,0.4472135954999579
35,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,meta_data,o3-mini,blue,1.0,0.0
36,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,processed_data,gpt-4o-mini_temp0,blue,1.0,0.0
37,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,processed_data,gpt-5-mini,blue,1.0,0.0
38,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,processed_data,gpt-5-nano,blue,1.0,0.0
39,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,processed_data,gpt-5.4-mini,blue,1.0,0.0
40,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,processed_data,gpt-5.4-nano,blue,0.6666666666666666,0.5773502691896258
41,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,processed_data,o3-mini,blue,1.0,0.0
42,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,protocol,gpt-4o-mini_temp0,blue,1.0,0.0
43,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,protocol,gpt-5-mini,blue,1.0,0.0
44,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,protocol,gpt-5-nano,blue,1.0,0.0
45,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,protocol,gpt-5.4-mini,blue,0.95,0.22360679774997894
46,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,protocol,gpt-5.4-nano,blue,0.7,0.47016234598162726
47,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,protocol,o3-mini,blue,1.0,0.0
48,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,readme,gpt-4o-mini_temp0,blue,1.0,0.0
49,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,readme,gpt-5-mini,blue,1.0,0.0
50,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,readme,gpt-5-nano,blue,1.0,0.0
51,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,readme,gpt-5.4-mini,blue,0.75,0.46291004988627577
52,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,readme,gpt-5.4-nano,blue,0.25,0.4629100498862757
53,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,readme,o3-mini,blue,1.0,0.0
54,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,sop,gpt-4o-mini_temp0,blue,1.0,0.0
55,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,sop,gpt-5-mini,blue,1.0,0.0
56,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,sop,gpt-5-nano,blue,1.0,0.0
57,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,sop,gpt-5.4-mini,blue,1.0,0.0
58,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,sop,gpt-5.4-nano,blue,0.5,0.5773502691896257
59,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,sop,o3-mini,blue,1.0,0.0
60,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,toxtemp,gpt-4o-mini_temp0,blue,1.0,
61,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,toxtemp,gpt-5-mini,blue,1.0,
62,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,toxtemp,gpt-5-nano,blue,1.0,
63,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,toxtemp,gpt-5.4-mini,blue,1.0,
64,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,toxtemp,gpt-5.4-nano,blue,1.0,
65,1. Overview,1. Overview,1.1 Descriptive full-text title,1,Provide a descriptive title using normal language without technical terms or acronyms.,toxtemp,o3-mini,blue,1.0,
66,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,abstract,gpt-4o-mini_temp0,green,1.0,0.0
67,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,abstract,gpt-5-mini,green,1.0,0.0
68,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,abstract,gpt-5-nano,green,1.0,0.0
69,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,abstract,gpt-5.4-mini,green,1.0,0.0
70,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,abstract,gpt-5.4-nano,green,1.0,0.0
71,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,abstract,o3-mini,green,1.0,0.0
72,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,article,gpt-4o-mini_temp0,green,1.0,0.0
73,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,article,gpt-5-mini,green,1.0,0.0
74,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,article,gpt-5-nano,green,1.0,0.0
75,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,article,gpt-5.4-mini,green,1.0,0.0
76,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,article,gpt-5.4-nano,green,1.0,0.0
77,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,article,o3-mini,green,1.0,0.0
78,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,combined,gpt-4o-mini_temp0,green,1.0,0.0
79,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,combined,gpt-5-mini,green,1.0,0.0
80,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,combined,gpt-5-nano,green,1.0,0.0
81,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,combined,gpt-5.4-mini,green,1.0,0.0
82,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,combined,gpt-5.4-nano,green,1.0,0.0
83,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,combined,o3-mini,green,1.0,0.0
84,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,description,gpt-4o-mini_temp0,green,1.0,0.0
85,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,description,gpt-5-mini,green,1.0,0.0
86,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,description,gpt-5-nano,green,1.0,0.0
87,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,description,gpt-5.4-mini,green,1.0,0.0
88,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,description,gpt-5.4-nano,green,1.0,0.0
89,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,description,o3-mini,green,1.0,0.0
90,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,dmp,gpt-4o-mini_temp0,green,1.0,0.0
91,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,dmp,gpt-5-mini,green,1.0,0.0
92,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,dmp,gpt-5-nano,green,1.0,0.0
93,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,dmp,gpt-5.4-mini,green,1.0,0.0
94,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,dmp,gpt-5.4-nano,green,1.0,0.0
95,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,dmp,o3-mini,green,1.0,0.0
96,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,meta_data,gpt-4o-mini_temp0,green,1.0,0.0
97,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,meta_data,gpt-5-mini,green,1.0,0.0
98,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,meta_data,gpt-5-nano,green,1.0,0.0
99,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,meta_data,gpt-5.4-mini,green,1.0,0.0
100,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,meta_data,gpt-5.4-nano,green,1.0,0.0
101,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,meta_data,o3-mini,green,1.0,0.0
102,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,processed_data,gpt-4o-mini_temp0,green,1.0,0.0
103,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,processed_data,gpt-5-mini,green,1.0,0.0
104,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,processed_data,gpt-5-nano,green,1.0,0.0
105,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,processed_data,gpt-5.4-mini,green,1.0,0.0
106,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,processed_data,gpt-5.4-nano,green,1.0,0.0
107,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,processed_data,o3-mini,green,1.0,0.0
108,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,protocol,gpt-4o-mini_temp0,green,1.0,0.0
109,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,protocol,gpt-5-mini,green,1.0,0.0
110,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,protocol,gpt-5-nano,green,1.0,0.0
111,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,protocol,gpt-5.4-mini,green,0.85,0.3663475485325232
112,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,protocol,gpt-5.4-nano,green,0.95,0.22360679774997894
113,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,protocol,o3-mini,green,1.0,0.0
114,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,readme,gpt-4o-mini_temp0,green,1.0,0.0
115,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,readme,gpt-5-mini,green,1.0,0.0
116,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,readme,gpt-5-nano,green,1.0,0.0
117,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,readme,gpt-5.4-mini,green,1.0,0.0
118,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,readme,gpt-5.4-nano,green,1.0,0.0
119,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,readme,o3-mini,green,1.0,0.0
120,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,sop,gpt-4o-mini_temp0,green,1.0,0.0
121,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,sop,gpt-5-mini,green,1.0,0.0
122,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,sop,gpt-5-nano,green,1.0,0.0
123,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,sop,gpt-5.4-mini,green,1.0,0.0
124,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,sop,gpt-5.4-nano,green,1.0,0.0
125,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,sop,o3-mini,green,1.0,0.0
126,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,toxtemp,gpt-4o-mini_temp0,green,1.0,
127,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,toxtemp,gpt-5-mini,green,1.0,
128,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,toxtemp,gpt-5-nano,green,1.0,
129,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,toxtemp,gpt-5.4-mini,green,1.0,
130,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,toxtemp,gpt-5.4-nano,green,1.0,
131,1. Overview,1. Overview,1.2 Abstract,2,Please write an abstract on the cell-based toxicological test method in no more than 200 words:,toxtemp,o3-mini,green,1.0,
132,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",abstract,gpt-4o-mini_temp0,green,0.3333333333333333,0.5163977794943222
133,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",abstract,gpt-5-mini,green,0.6666666666666666,0.5163977794943223
134,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",abstract,gpt-5-nano,green,1.0,0.0
135,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",abstract,gpt-5.4-mini,green,0.5,0.5477225575051662
136,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",abstract,gpt-5.4-nano,green,0.16666666666666666,0.408248290463863
137,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",abstract,o3-mini,green,1.0,0.0
138,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",article,gpt-4o-mini_temp0,green,1.0,0.0
139,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",article,gpt-5-mini,green,1.0,0.0
140,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",article,gpt-5-nano,green,0.9285714285714286,0.2672612419124244
141,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",article,gpt-5.4-mini,green,0.7857142857142857,0.42581531362632
142,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",article,gpt-5.4-nano,green,0.21428571428571427,0.4258153136263201
143,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",article,o3-mini,green,1.0,0.0
144,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",combined,gpt-4o-mini_temp0,green,1.0,0.0
145,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",combined,gpt-5-mini,green,1.0,0.0
146,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",combined,gpt-5-nano,green,1.0,0.0
147,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",combined,gpt-5.4-mini,green,1.0,0.0
148,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",combined,gpt-5.4-nano,green,0.625,0.5175491695067657
149,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",combined,o3-mini,green,1.0,0.0
150,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",description,gpt-4o-mini_temp0,green,0.42857142857142855,0.5345224838248488
151,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",description,gpt-5-mini,green,1.0,0.0
152,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",description,gpt-5-nano,green,1.0,0.0
153,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",description,gpt-5.4-mini,green,0.42857142857142855,0.5345224838248488
154,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",description,gpt-5.4-nano,green,0.7142857142857143,0.4879500364742666
155,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",description,o3-mini,green,1.0,0.0
156,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",dmp,gpt-4o-mini_temp0,green,0.6666666666666666,0.5773502691896258
157,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",dmp,gpt-5-mini,green,1.0,0.0
158,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",dmp,gpt-5-nano,green,1.0,0.0
159,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",dmp,gpt-5.4-mini,green,0.6666666666666666,0.5773502691896258
160,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",dmp,gpt-5.4-nano,green,0.0,0.0
161,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",dmp,o3-mini,green,1.0,0.0
162,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",meta_data,gpt-4o-mini_temp0,green,1.0,0.0
163,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",meta_data,gpt-5-mini,green,1.0,0.0
164,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",meta_data,gpt-5-nano,green,1.0,0.0
165,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",meta_data,gpt-5.4-mini,green,0.6,0.5477225575051661
166,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",meta_data,gpt-5.4-nano,green,0.6,0.5477225575051661
167,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",meta_data,o3-mini,green,1.0,0.0
