Unnamed: 0,section,section_short,subsection,qID,question,model,colour,doc_type
15,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5.4-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
16,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",gpt-5.4-nano,green,"abstract, article, combined, description, meta_data, protocol, readme, sop, toxtemp"
17,1. Overview,1. Overview,1.2 Abstract,3,"Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? (8.1)",o3-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
18,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-4o-mini_temp0,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
19,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
20,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5-nano,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
21,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5.4-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
22,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),gpt-5.4-nano,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
23,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),o3-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
24,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-4o-mini_temp0,green,"abstract, article, combined, description, dmp, meta_data, protocol, readme, sop, toxtemp"
25,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5-mini,green,"abstract, article, combined, description, dmp, meta_data, protocol, readme, sop, toxtemp"
26,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5-nano,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
27,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5.4-mini,green,"abstract, article, combined, description, meta_data, processed_data, protocol, sop, toxtemp"
28,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",gpt-5.4-nano,green,"abstract, article, combined, description, dmp, protocol, readme, sop, toxtemp"
29,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",o3-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
30,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-4o-mini_temp0,green,"abstract, article, combined, dmp, meta_data, protocol, sop, toxtemp"
31,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5-mini,green,"abstract, article, combined, description, dmp, meta_data, protocol, toxtemp"
32,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5-nano,green,"abstract, article, combined, dmp, meta_data, processed_data, protocol, toxtemp"
33,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5.4-mini,green,"abstract, article, combined, dmp, meta_data, protocol, sop, toxtemp"
34,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),gpt-5.4-nano,green,"article, combined, meta_data, toxtemp"
35,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),o3-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
36,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-4o-mini_temp0,green,"abstract, article, combined, dmp, meta_data, protocol, sop, toxtemp"
37,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5-mini,green,"abstract, article, combined, description, dmp, meta_data, protocol, sop, toxtemp"
38,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5-nano,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
39,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5.4-mini,green,"abstract, article, combined, meta_data, protocol, sop, toxtemp"
40,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),gpt-5.4-nano,green,"article, combined, protocol, toxtemp"
41,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),o3-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
42,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-4o-mini_temp0,green,"abstract, article, combined, meta_data, protocol, toxtemp"
43,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5-mini,green,"article, combined, protocol, toxtemp"
44,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5-nano,green,"abstract, article, combined, description, meta_data, processed_data, protocol"
45,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5.4-mini,green,"abstract, article, combined, meta_data, protocol, sop, toxtemp"
46,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),gpt-5.4-nano,green,"abstract, article, combined, meta_data, protocol"
47,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),o3-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
48,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-4o-mini_temp0,green,"article, combined"
49,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5-mini,green,"article, combined"
50,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5-nano,green,"article, combined, processed_data"
51,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5.4-mini,green,"article, combined, protocol"
52,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",gpt-5.4-nano,green,article
53,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",o3-mini,green,"article, combined, protocol, sop"
54,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,gpt-5-nano,red,"combined, sop"
55,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,gpt-5.4-mini,red,dmp
56,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,o3-mini,red,"combined, sop"
57,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,gpt-5-mini,red,"article, combined"
58,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,gpt-5-nano,red,"article, combined"
59,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,gpt-5.4-mini,red,article
60,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,o3-mini,red,"article, combined, protocol, sop"
61,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",gpt-5-mini,red,combined
62,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",gpt-5-nano,red,"combined, protocol, sop"
63,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",gpt-5.4-mini,red,"combined, dmp, sop"
64,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",o3-mini,red,"article, combined, protocol, sop"
65,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,gpt-5-nano,red,"article, combined, meta_data"
66,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,gpt-5.4-mini,red,readme
67,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,o3-mini,red,"combined, sop"
68,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",gpt-5-mini,red,combined
69,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",gpt-5-nano,red,"article, combined"
70,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",gpt-5.4-mini,red,article
71,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",o3-mini,red,"article, combined, dmp, protocol, readme, sop"
72,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",gpt-5-mini,red,"article, combined"
73,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",gpt-5-nano,red,"article, combined, sop"
74,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",gpt-5.4-mini,red,"article, combined"
75,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",o3-mini,red,"article, combined, sop"
76,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-4o-mini_temp0,blue,"combined, meta_data, protocol, sop, toxtemp"
77,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-5-mini,blue,"article, combined, meta_data, processed_data, protocol, readme, sop, toxtemp"
78,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-5-nano,blue,"abstract, article, combined, description, dmp, meta_data, protocol, readme, sop, toxtemp"
79,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-5.4-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
80,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",gpt-5.4-nano,blue,"article, combined, meta_data, protocol, readme, sop, toxtemp"
81,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",o3-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
82,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-4o-mini_temp0,blue,"article, combined, protocol, sop"
83,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-5-mini,blue,"article, combined, dmp, processed_data, protocol, sop, toxtemp"
84,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-5-nano,blue,"article, combined, protocol, readme, sop, toxtemp"
85,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-5.4-mini,blue,"combined, protocol, sop"
86,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,gpt-5.4-nano,blue,"combined, protocol, sop"
87,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,o3-mini,blue,"article, combined, dmp, processed_data, protocol, sop, toxtemp"
88,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-4o-mini_temp0,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, sop, toxtemp"
89,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5-mini,blue,"article, combined, meta_data, processed_data, protocol, sop, toxtemp"
90,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5-nano,blue,"abstract, article, combined, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
91,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5.4-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
92,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",gpt-5.4-nano,blue,"article, combined, protocol, readme, sop, toxtemp"
93,2. General information,2. General information,2.3 Summary of introduced changes in comparison to previous version(s),12,"This only applies to updated versions. If this is the original version, state 'original version'.",o3-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
94,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-4o-mini_temp0,blue,combined
95,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop"
96,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5-nano,blue,"abstract, article, combined, description, dmp, meta_data, protocol, readme, sop, toxtemp"
97,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5.4-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop"
98,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",gpt-5.4-nano,blue,"abstract, article, combined, description, meta_data, protocol, readme, sop"
99,2. General information,2. General information,2.4 Assigned data base name,13,"Normal text names often do not uniquely define the method. Therefore, each method should be assigned a clearly and uniquely defined data base name.",o3-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
100,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-4o-mini_temp0,blue,"abstract, article, combined, dmp, protocol, sop"
101,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-5-mini,blue,"abstract, article, combined, dmp, protocol, sop"
102,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-5-nano,blue,"abstract, article, combined, dmp, processed_data, protocol, sop"
103,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-5.4-mini,blue,"abstract, article, combined, description, dmp, meta_data, protocol, readme, sop"
104,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,gpt-5.4-nano,blue,"abstract, article, combined, dmp, protocol"
105,2. General information,2. General information,2.5 Name and acronym of the test depositor,14,Include affiliation.,o3-mini,blue,"abstract, article, combined, dmp, processed_data, protocol, sop"
106,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-4o-mini_temp0,blue,"article, combined, meta_data, protocol"
107,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-5-mini,blue,"article, combined, dmp, meta_data, protocol, sop"
108,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-5-nano,blue,"article, combined, dmp, meta_data, protocol, sop"
109,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-5.4-mini,blue,"article, combined, dmp, meta_data, protocol"
110,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,gpt-5.4-nano,blue,"article, combined, dmp, meta_data, protocol"
111,2. General information,2. General information,2.6 Name and email of contact person,15,Provide the details of the principal contact person.,o3-mini,blue,"article, combined, dmp, meta_data, protocol, sop"
112,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-4o-mini_temp0,blue,"dmp, meta_data, protocol"
113,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5-mini,blue,"article, combined, dmp"
114,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5-nano,blue,"article, combined, dmp, meta_data, protocol, sop"
115,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5.4-mini,blue,"abstract, article, combined, description, dmp, meta_data, sop"
116,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",gpt-5.4-nano,blue,protocol
117,2. General information,2. General information,2.7 Name of further persons involved,16,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",o3-mini,blue,"abstract, article, combined, dmp, meta_data, protocol, readme, sop"
118,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-4o-mini_temp0,blue,"article, combined, dmp, processed_data, protocol, readme, sop"
119,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5-mini,blue,"abstract, article, combined, description, meta_data, processed_data, protocol, readme, sop"
120,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5-nano,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop"
121,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5.4-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop"
122,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",gpt-5.4-nano,blue,"article, combined, readme"
123,2. General information,2. General information,2.8 Reference to additional files of relevance,17,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",o3-mini,blue,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop"
124,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-4o-mini_temp0,green,"article, combined, meta_data, protocol, readme, sop, toxtemp"
125,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, readme, sop, toxtemp"
126,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5-nano,green,"article, combined, meta_data, processed_data, protocol, sop, toxtemp"
127,3. Description of general features of the test system source,3. Test system source,3.1 Supply of source cells,18,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",gpt-5.4-mini,green,"abstract, article, combined, description, dmp, meta_data, processed_data, protocol, sop, toxtemp"
