,section,section_short,subsection,qID,question,doc_type,colour,mean_answer_given,std_answer_given
277,3. Description of general features of the test system source,3. Test system source,3.3 Characterization and definition of source cells,20,"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures.",combined,green,0.5531914893617021,0.5025375018797699
288,3. Description of general features of the test system source,3. Test system source,3.4 Acceptance criteria for source cell population,21,"Describe the acceptance criteria (AC) for your initial cells (i.e. the quality criteria for your proliferating cell line, tissue for isolation, organism, etc.). Which specifications do you consider to describe the material, which quality control criteria have to be fulfilled (e.g. pathogen-free)? Which functional parameters (e.g. certain biological responses to reference substances) are important? For iPSC maintenance: How do you control pluripotency? How stable are your cells over several passages? Which passage(s) are valid? For primary cells: Show stability and identity of supply; demonstrate stability of function (e.g. xenobiotic metabolism). Quantitative definitions for AC should be given based on this defining information. Exclusion criteria (features to be absent) are also important. As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems.",combined,yellow,0.40425531914893614,0.49605287534106185
299,3. Description of general features of the test system source,3. Test system source,3.5 Variability and troubleshooting of source cells,22,"Name known causes of variability of the initial cells/source cells. Indicate critical consumables or batch effects (e.g. relevance of the plate format and supplier, batch effects of fetal calf serum (FCS) or serum replacement, critical additives like type of trypsin, apo-transferrin vs. holo-transferrin, etc.). Indicate critical handling steps and influencing factors (e.g. special care needed in pipetting, steps that need to be performed quickly, cell density, washing procedures, etc.). As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems, e.g. dependence on matrix chemistry and geometry, dependence on microfluidics system, consideration of surface cells vs core cells, etc. Give recommendations to increase/ensure reproducibility and performance.",combined,yellow,0.5833333333333334,0.4982237954520137
310,3. Description of general features of the test system source,3. Test system source,3.6 Differentiation towards the final test system,23,"Describe the principles of the selected differentiation protocol, including a scheme and graphical overview, indicating all phases, media, substrates, manipulation steps (medium change/re-plating, medium additives, etc.). Special/additional requirements apply to microphysiological systems and organoids: e.g. cell printing, self-aggregation/self-organisation process, interaction with the matrix, geometrical characterization (size/shape), etc.",combined,yellow,0.4375,0.5013280235873938
321,3. Description of general features of the test system source,3. Test system source,3.7 Reference/link to maintenance culture protocol,24,"Provide the SOP of the general maintenance procedure as a database link. This should also include the following information: How are the cells maintained outside the experiment (basic cell propagation)? How pure is the cell population (average, e.g. 95% of iPSC cells Oct4-positive)? What are the quality control measures and acceptance criteria for each cell batch? Which number(s) passage(s) can be used in the test? Is Good Cell Culture Practice (GCCP) and/or Good In Vitro Method Practice (GIVIMP) followed? How long can same cell batches be used? How are frozen stocks and cell banks prepared? For primary cells: how are they obtained in general and what are they characterized for (and what are inclusion and exclusion criteria).",combined,orange,0.16666666666666666,0.3766217885773548
332,4. Definition of the test system as used in the method,4. Test system definition,4.1 Principles of the culture protocol,25,"Describe the test system as it is used in the test. If the generation of the test system involves differentiation steps or complex technical manipulation (e.g. formation of microtissues), this is described in 3.6. Give details on the general features/principles of the culture protocol (collagen embedding, 3D structuring, addition of mitotic inhibitors, addition of particular hormones/growth factors, etc.) of the cells that are used for the test. What is the percentage of contaminating cells; in co-cultures what is the percentage of each subpopulation? Are there subpopulations that are generally more sensitive to cytotoxicity than others, and could this influence viability measures? Is it known whether specific chemicals/chemical classes show differential cytotoxicity for the cell sub-populations used?",combined,green,0.4166666666666667,0.4982237954520137
343,4. Definition of the test system as used in the method,4. Test system definition,4.2 Acceptance criteria for assessing the test system at its start,26,"What are the endpoint(s) that you use to control that your culture(s) is/are as expected at the start of toxicity testing (e.g. gene expression, staining, morphology, responses to reference chemicals, etc.)? Describe the acceptance criteria for your test system, i.e. the quality criteria for your cells/tissues/organoids: Which endpoints do you consider to describe the cells or other source material, which parameters are important? Describe the (analytical) methods that you use to evaluate your culture (PCR, ATP measurement) and to measure the acceptance criteria (AC). Which values (e.g. degree of differentiation or cell density) need to be reached/should not be reached? Historical controls: How does your test system perform with regard to the acceptance criteria, e.g. when differentiation is performed 10 times, what is the average and variation of the values for the acceptance criteria parameters)? Indicate actions if the AC are not met. Examples: cell are > 90% viable, or > 98% of cells express marker x (e.g. AP-2), or > 80% of the cells attach, etc.",combined,yellow,0.4375,0.5013280235873938
354,4. Definition of the test system as used in the method,4. Test system definition,4.4 Variability of the test system and troubleshooting,28,"Give known causes of variability for final test system state. Indicate critical consumables or batch effects (e.g. plate format and supplier, batch effects of FCS or serum replacement, additives). Indicate critical handling steps, and/or influencing factors identified (e.g. special care needed in pipetting, steps that need to be performed quickly, cell density). Indicate positive and negative controls and their expected values, and accepted deviation within and between the test repeats. Give recommendations to increase/ensure reproducibility and performance.",combined,yellow,0.5833333333333334,0.4982237954520136
365,4. Definition of the test system as used in the method,4. Test system definition,4.5 Metabolic capacity of the test system,29,What is known about endogenous metabolic capacity (CYP system (phase I); relevant conjugation reactions (phase II))? What is known about other pathways relevant to xenobiotic metabolism? What specific information is there on transporter activity?,combined,yellow,0.16666666666666666,0.3766217885773548
376,4. Definition of the test system as used in the method,4. Test system definition,4.6 Omics characterization of the test system,30,"Are there transcriptomics data or other omics data available that describe the test system (characterization of cells without compounds)? Briefly list and describe such data. Indicate the type of data available (e.g. RNASeq or proteomics data). Refer to data file, data base or publication.",combined,orange,0.3958333333333333,0.49420399497827033
387,4. Definition of the test system as used in the method,4. Test system definition,4.7 Features of the test system that reflect the in vivo tissue,31,Give information on where the test system differs from the mimicked human tissue and which gaps of analogy need to be considered.,combined,yellow,0.625,0.48924605479008165
398,4. Definition of the test system as used in the method,4. Test system definition,4.8 Commercial and intellectual property rights aspects of cells,32,Are there elements of the test system that are protected by patents or any other means?,combined,orange,0.2708333333333333,0.4490928602896294
409,4. Definition of the test system as used in the method,4. Test system definition,4.9 Reference/link to the culture protocol,33,"Fill only if section 3 has not been answered. Provide the SOP for the general maintenance procedure as a database link. This should also include the following information: How are the cells maintained outside the experiment (basic cell propagation)? How pure is the cell population (average, e.g. 95% of iPSC cells Oct4-positive)? What are the quality control measures and acceptance criteria for each cell batch? Which number(s) passage(s) can be used in the test? Is Good Cell Culture Practice (GCCP) and/or Good In Vitro Method Practice (GIVIMP) followed? How long can same cell batches be used? How are freezing stocks and cell banks prepared? For primary cells: how are they obtained in general and what are they characterized for (and what are inclusion and exclusion criteria).",combined,orange,0.1702127659574468,0.3798826441307215
420,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.1 Exposure scheme for toxicity testing,34,"Provide an exposure scheme (graphically, show timelines, addition of medium supplements and compounds, sampling, etc.), within the context of the overall cell culture scheme (e.g. freshly re-plated cells or confluent cells at start, certain coatings, etc.). Include medium changes, cell re-plating, whether compounds are re-added in cases of medium change, critical medium supplements, etc.",combined,green,0.6041666666666666,0.49420399497827044
431,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.10 Throughput estimate,43,"Indicate 'real data points per month' (not per week/per quarter, etc.): count three working weeks per month. Each concentration is a data point. Necessary controls that are required for calibration and for acceptability criteria are NOT counted as data points. All technical replicates of one condition are counted as one single data point (see notes for explanation) Indicate possibility/extent of repeated measures (over time) from same dish. Explain your estimate.",combined,red,0.4583333333333333,0.503533612870859
442,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.2 Endpoint(s) of the test method,35,"Define the specific endpoint(s) of the test system that you use for toxicity testing (e.g. cytotoxicity, cell migration, etc.). Indicate whether cytotoxicity is the primary endpoint. What are secondary/further endpoints? Also describe here potential reference/normalization endpoints (e.g. cytotoxicity, protein content, housekeeping gene expression) that are used for normalization of the primary endpoint.",combined,green,0.9583333333333334,0.20194093652345882
453,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.4 Technical details (of e.g. endpoint measurements),37,"Provide information on machine settings, analytical standards, data processing and normalization procedures. For imaging endpoints: provide detailed algorithm. This information should also be covered in an SOP, preferably in DB-ALM format (see link in 6.6).",combined,orange,0.3958333333333333,0.4942039949782703
464,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.5 Endpoint-specific controls/mechanistic control compounds (MCC),38,"MCC are chemicals/manipulations that show biologically plausible changes of the endpoint. List such controls (up to 10), indicate why you consider them as MCC, and describe expected data on such controls. Highlight the compounds to be used for testing day-to-day test performance, i.e. for setting acceptance criteria (AC). If available, indicate MCC that each increase or decrease the activity of the relevant pathway. Do pathway inhibitions or activations correlate with the test method response?",combined,yellow,0.5625,0.5013280235873939
475,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.6 Positive controls,39,What chemicals/manipulations are used as positive controls? Describe the expected data on such controls (signal and its uncertainty)? How good are in vivo reference data on the positive controls? Are in vivo relevant threshold concentrations known?,combined,green,0.3958333333333333,0.4942039949782704
486,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.7 Negative and unspecific controls,40,"What chemicals/manipulations are used as negative controls? Describe the expected data on such controls (signal and its uncertainty)? (Such data define the background noise of the test method) What is the rationale for the concentration setting of negative controls? Do you use unspecific controls? If yes, indicate the compounds and the respective rationale for their use and the concentration selection.",combined,green,0.6458333333333334,0.4833211052500622
497,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.8 Features relevant for cytotoxicity testing,41,"Does the test system have a particular apoptosis sensitivity or resistance? Is cytotoxicity hard to capture for minor cellular subpopulations? In multicellular systems, which cell population is the most sensitive? Are specific markers known for each cell population? Are there issues with distinguishing slowed proliferation from cell death? For repeated/prolonged dosing: Is early death and compensatory growth considered? For very short-term endpoints (e.g. electrophysiology measured 30 min after toxicant exposure): Is a delayed measure of cytotoxicity provided?",combined,green,0.25,0.4375949744936837
508,5. Test method exposure scheme and endpoints,5. Exposure & endpoints,5.9 Acceptance criteria for the test method,42,Which rule do you apply to test whether a test run is within the normal performance frame? How do you document this decision? Indicate actions if the AC are not met.,combined,yellow,0.3541666666666667,0.4833211052500624
519,6. Handling details of the test method,6. Test method handling,6.1 Preparation/addition of test compounds,44,"Give an overview of the range of volumes, particular lab ware/instruments for dispensing, temperature/lighting considerations, particular media/buffers for dilution, decision rules for the solvent, tests of solubility as stocks and in culture medium, etc. How are compound stocks prepared (fold concentration, verification, storage, etc.)? How are dilutions prepared? What solvent is used? Is filtering used to obtain sterility? How does the final addition to the test system take place? Give details of addition of test compounds to test systems (e.g. in which compartment of compartmentalized cultures, in which volume, before after or during medium change, etc.).",combined,yellow,0.3958333333333333,0.4942039949782704
530,6. Handling details of the test method,6. Test method handling,6.4 Concentration settings,47,"How is the concentration range of test compounds defined (e.g. only single concentrations, always 1:10 serial dilutions or variable dilution factors, ten different concentrations, etc.)? Is there a rule for defining starting dilutions? For functional endpoints that may not provide full concentration-response, how is the test concentration defined? E.g. EC10 of viability data are usually tested for gene expression endpoints. Detailed information should also be included in an SOP, preferably in DB-ALM format (see link in 6.6).",combined,yellow,0.3958333333333333,0.4942039949782704
541,6. Handling details of the test method,6. Test method handling,6.5 Uncertainties and troubleshooting,48,"What types of compounds are problematic, e.g. interference with analytical endpoint, low solubility, precipitation of medium components, etc.? What experimental variables are hard to control (e.g. because they are fluorescent)? What are critical handling steps during the execution of the assay? Robustness issues, e.g. known variations of test performance due to operator training, season, use of certain consumable or unknown causes, etc. Describe known pitfalls (or potential operator mistakes).",combined,orange,0.4583333333333333,0.503533612870859
552,6. Handling details of the test method,6. Test method handling,6.6 Detailed protocol (SOP),49,"Ideally the SOP follows the DB-ALM or a comparable format: https://ecvam-dbalm.jrc.ec.europa.eu/home/contribute Refer to additional file(s) (containing information covered in sections 3 and 4), containing all details and explanations. Has the SOP been deposited in an accessible data base? Has the SOP been reviewed externally and if yes, how?",combined,orange,0.1875,0.39444277960558327
563,6. Handling details of the test method,6. Test method handling,6.7 Special instrumentation,50,Does the method require specialized instrumentation that is not found in standard laboratories? Is there a need for custom-made instrumentation or material? Is there a need for equipment that is not commercially available (anymore)?,combined,orange,0.7708333333333334,0.4247443953937941
574,6. Handling details of the test method,6. Test method handling,6.8 Possible variations,51,"Describe possible variations, modifications and extensions of the test method: a) other endpoints, b) other analytical methods for same endpoint, c) other exposure schemes (e.g. repeated exposure, prolonged exposure, etc.), d) experimental variations (e.g. use of a specific medium, presence of an inhibitor or substrate that affects test outcome, etc.)",combined,red,0.6666666666666666,0.47639306734033093
585,6. Handling details of the test method,6. Test method handling,6.9 Cross-reference to related test methods,52,"Indicate the names (and database names) of related tests and give a short description (including a brief comment on differences to the present method). If the test method has been used for high throughput transcriptomics or deep sequencing as alternative endpoint, this should be indicated.",combined,red,0.6041666666666666,0.49420399497827033
596,7. Data management,7. Data management,7.1 Raw data format,53,"What is the data format? Raw data: give general explanation. Upload an exemplary file of raw data (e.g. Excel file as exported out of plate reader). Provide an example of processed data at a level suitable for general display and comparison of conditions and across experiments and methods. If the file format is not proprietary or binary, include a template. This will help other users to provide their data in a similar way to the general data infrastructure. Example as used in EU-ToxRisk: Excel sheet with columns specifying line number, assay name, date of experiment, identifier for reference to partner lab book, compound, concentration (in: -log[M]), line number of corresponding control, number of replicates, endpoints, data of endpoint(s), etc.",combined,green,0.4166666666666667,0.49822379545201356
607,7. Data management,7. Data management,7.2 Outliers,54,How are outliers defined and handled? How are they documented? Provide the general frequency of outliers.,combined,yellow,0.25,0.4375949744936837
618,7. Data management,7. Data management,7.3 Raw data processing to summary data,55,"How are raw data processed to obtain summary data (e.g. EC50, BMC15, ratios, PoD, etc.) in your lab? Describe all processing steps from background correction (e.g. measurement of medium control) to normalization steps (e.g. if you relate treated samples to untreated controls).",combined,green,0.4166666666666667,0.4982237954520137
629,7. Data management,7. Data management,7.4 Curve fitting,56,"How are data normally handled to obtain the overall test result (e.g. concentration response fitting using model X, determination of EC50 by method Y, use of EC50 as final data)? How do you model your concentration response curve (e.g. LL.4 parameter fit) and which software do you use (e.g. GraphPad Prism, R, etc.)? Do you usually calculate an uncertainty measure of your summary data (e.g. a 95% confidence interval for the BMC or a BMCL), and with which software? Can you give uncertainty for non-cytotoxicity or no-effect? How do you handle non-monotonic curve shapes or other curve features that are hard to describe with the usual mathematical fit model?",combined,yellow,0.2916666666666667,0.4593396431851037
640,7. Data management,7. Data management,7.5 Internal data storage,57,How and how long are raw and other related data stored? What backup procedures are used (how frequently)? How are data versions identified?,combined,orange,0.22916666666666666,0.42474439539379416
651,7. Data management,7. Data management,7.6 Metadata,58,"How are metadata documented and stored (lab book, Excel files, left in machine, etc.)? How are they linked to raw data? What metadata are stored/should be stored?",combined,yellow,0.4791666666666667,0.504852341308647
662,7. Data management,7. Data management,7.7 Metadata file format,59,"Give example of the metadata file (if available). If metadata or data format (see 7.1) are pre-defined in the project, state here 'as pre-defined in project xxx' (e.g. EU-ToxRisk).",combined,yellow,0.3958333333333333,0.4942039949782704
673,8. Prediction model and toxicological application,8. Prediction & application,"8.1 Scientific principle, test purpose and relevance",60,"What is the scientific rationale to link test method data to a relevant in vivo adverse outcome? Which toxicological target (organ, tissue, physiological/biochemical function, etc.) is modelled? Which biological process(es) (e.g. neurite outgrowth, differentiation) are modelled/reflected by your test method? Which toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? To which (human) adverse outcome(s) is your test method related? Which hazard(s) do(es) your test method (potentially) predict?",combined,green,0.8541666666666666,0.35667395763741655
684,8. Prediction model and toxicological application,8. Prediction & application,8.3 Prediction model setup,62,"How was the prediction model set up (using which test set of chemicals to train the model; using probing with what kind of classifiers/statistical approaches)? Has the prediction model been tested (what was the test set of chemicals)? List chemicals or give n, if n > 50. Is the process documented (publication)? Does the prediction model (PM) apply to changes to both sides of controls (up/down)? If the PM is one-sided (e.g. toxicants leading to a decrease vs. control), how are data in the opposite direction handled and interpreted? If the PM is two-sided, do different rules, characteristics and interpretations apply to the two sides (e.g. is a decrease in viability or an increase in viability both interpreted as an effect/toxicity; are thresholds and performance characteristics to both sides the same?).",combined,green,0.16666666666666666,0.37662178857735473
695,8. Prediction model and toxicological application,8. Prediction & application,8.5 In vitro – in vivo extrapolation (IVIVE),64,"Describe parameters important for the determination of free compound concentrations in the medium. Indicate the lipid and protein content of the medium and the cells. Indicate the volume of the cells. Indicate volume (medium volume) and surface area of culture dish. Is there information/literature on IVIVE strategies/data in the test? Has the test been used earlier for IVIVE? Are there special considerations that are relevant for IVIVE (e.g. potential for compound accumulation due to frequent medium changes and compound re-addition, glycoprotein (MDR1) expression, capacity for xenobiotic metabolism of test system)?",combined,green,0.20833333333333334,0.4104140790860576
706,8. Prediction model and toxicological application,8. Prediction & application,8.6 Applicability of test method,65,"Which compounds is the test likely to pick up correctly, where is it likely to fail? How does the test method react to mixtures and UVCBs? Are there areas (according to industry sector, compound chemistry, physical-chemical properties) that need to be excluded from testing, or that are particularly suitable? Which compound class cannot be detected (e.g. neurotransmitters for which the receptors are not expressed, endocrine disruptors in absence of respective pathway)? Are any compounds known to interfere with the test system (e.g. fluorescent or colored chemicals)?",combined,green,0.16666666666666666,0.3766217885773547
717,8. Prediction model and toxicological application,8. Prediction & application,8.7 Incorporation in test battery,66,"Does the test fit into a test battery? If yes, into which test battery and are there any restrictions? Indicate potential strengths and weaknesses of the system in a test battery (e.g. method is a good confirmation assay, good for creating alerts, mechanistic follow-up, screening, etc.). Compare performance to similar tests. Which gaps in a known or potential battery does the test method fill? Should the test preferentially be used in the first tier or later tiers, are complementary assays required or is it a stand-alone method?",combined,red,0.7083333333333334,0.4593396431851038
728,9. Publication/validation status,9. Publication/validation status,9.1 Availability of key publications,67,"Refer to published literature on the test AND indicate in detail deviations from published descriptions (e.g. plastic plate supplier, cell number, endpoint measurement, timing, etc.). Provide the most relevant publications that describe/give a comprehensive overview of (a) your test system and/or (b) your test method. Describe what aspects are covered therein. Give a prioritized (according to importance) list of further publications on the test method or its application. Give short comments on which type(s) of information can be obtained from these publications (e.g. contains test chemical lists, contains more positive/negative controls, contains validation against other tests, contains incorporation in test battery, demonstrates use by other lab, etc.).",combined,green,0.5625,0.5013280235873939
739,9. Publication/validation status,9. Publication/validation status,9.2 (Potential) linkage to AOPs,68,"Indicate whether the test method has been or could be linked to an AOP (or several AOPs) and in which form (e.g. test of KE activation). Can the test method cover an AOP MIE/KE? Reference relevant AOP and if in AOP-wiki, refer to status.",combined,orange,0.375,0.4892460547900816
750,9. Publication/validation status,9. Publication/validation status,9.3 Steps towards mechanistic validation,69,"Indicate/summarize information on mechanistic validation, e.g. by omics approaches or by use of endpoint specific controls (MCC; section 5.5). Has it been explored in how far the system reflects human biology, signaling, tissue organization relevant to the form of toxicity to be assessed (e.g. nigrostriatal neurons should contain dopamine, liver tests relevant to cholestasis may need to contain bile canalicular structures, etc.)?",combined,red,0.4791666666666667,0.5048523413086471
761,9. Publication/validation status,9. Publication/validation status,9.4 Pre-validation or validation,70,"Indicate/summarize activities for test qualification, pre-validation or validation. Indicate e.g. ring trials, full (pre-)validations. Give an overview of compounds or libraries that have been tested.",combined,red,0.375,0.48924605479008165
772,9. Publication/validation status,9. Publication/validation status,9.5 Linkage to (e.g. OECD) guidelines/regulatory use,71,"Indicate whether the test method is linked to an OECD Test Guideline (how, and which) or other regulatory guidance (e.g. EMA).",combined,red,0.3333333333333333,0.47639306734033093
